+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[2].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[1].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst                                                                                                                                                  ; 87    ; 125            ; 0            ; 125            ; 79     ; 125             ; 125           ; 125             ; 26    ; 0              ; 26           ; 0                ; 26                ;
; inst17                                                                                                                                                               ; 28    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst14                                                                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst26|\gpio_ctrl_gen:1:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst26|\gpio_ctrl_gen:0:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst26                                                                                                                                                               ; 10    ; 4              ; 0            ; 4              ; 2      ; 4               ; 4             ; 4               ; 2     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:7:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:6:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:5:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:4:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:3:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:2:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:1:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19|\gpio_ctrl_gen:0:gpio_ctrl_bitx                                                                                                                               ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; inst19                                                                                                                                                               ; 40    ; 15             ; 0            ; 15             ; 8      ; 15              ; 15            ; 15              ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; inst3|fsm                                                                                                                                                            ; 30    ; 0              ; 5            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst3                                                                                                                                                                ; 64    ; 88             ; 0            ; 88             ; 120    ; 88              ; 88            ; 88              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst30|ADF_muxout_test                                                                                                                                               ; 4     ; 1              ; 0            ; 1              ; 18     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst30|LML_CLK_test                                                                                                                                                  ; 4     ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst30|Si5351C_test                                                                                                                                                  ; 10    ; 0              ; 0            ; 0              ; 114    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst30|FX3_clk_test                                                                                                                                                  ; 3     ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst30                                                                                                                                                               ; 19    ; 8              ; 4            ; 8              ; 176    ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst39|fsm                                                                                                                                                           ; 30    ; 0              ; 5            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst39                                                                                                                                                               ; 266   ; 92             ; 0            ; 92             ; 52     ; 92              ; 92            ; 92              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst99                                                                                                                                                               ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst15|inst19                                                                                                                                                        ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst15|inst8                                                                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst15                                                                                                                                                               ; 4     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst25|fsm                                                                                                                                                           ; 30    ; 0              ; 5            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst25                                                                                                                                                               ; 23    ; 91             ; 0            ; 91             ; 148    ; 91              ; 91            ; 91              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|diq2fifo_inst1|inst1_txiq                                                                                                                   ; 58    ; 1              ; 0            ; 1              ; 28     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|diq2fifo_inst1                                                                                                                              ; 58    ; 13             ; 1            ; 13             ; 40     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|cntr_b                                                  ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|wrempty_eq_comp                                         ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rdfull_eq_comp                                          ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp                                         ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe12                                       ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|ws_dgrp                                                 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|ws_bwp                                                  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|ws_brp                                                  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|wrfull_reg                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe9                                        ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rs_dgwp                                                 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rs_bwp                                                  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rs_brp                                                  ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rdfull_reg                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|fifo_ram                                                ; 151   ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p                                               ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p                                               ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|ws_dgrp_gray2bin                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|wrptr_g_gray2bin                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rs_dgwp_gray2bin                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated|rdptr_g_gray2bin                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2|dcfifo_mixed_widths_component|auto_generated                                                         ; 133   ; 0              ; 0            ; 0              ; 86     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|fifo_inst_isnt2                                                                                                      ; 133   ; 12             ; 0            ; 12             ; 86     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|bit_unpack_64_inst1|unpack_64_to_64_inst2                                                                            ; 67    ; 0              ; 0            ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|bit_unpack_64_inst1|unpack_64_to_48_inst0                                                                            ; 67    ; 0              ; 0            ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|bit_unpack_64_inst1                                                                                                  ; 69    ; 0              ; 0            ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_rd_fsm_inst3                                                                                  ; 23    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_sync_fsm_inst2                                                                                ; 237   ; 0              ; 87           ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_clr_fsm_inst1|\gen_lpm_compare:3:LPM_COMPARE_component|auto_generated                         ; 129   ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_clr_fsm_inst1|\gen_lpm_compare:2:LPM_COMPARE_component|auto_generated                         ; 129   ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_clr_fsm_inst1|\gen_lpm_compare:1:LPM_COMPARE_component|auto_generated                         ; 129   ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_clr_fsm_inst1|\gen_lpm_compare:0:LPM_COMPARE_component|auto_generated                         ; 129   ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_clr_fsm_inst1                                                                                 ; 226   ; 0              ; 79           ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|cntr_b                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp           ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrempty_eq_comp          ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdfull_eq_comp           ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp          ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe16        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_dgrp                  ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_bwp                   ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_brp                   ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrfull_reg               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe13        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_dgwp                  ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_bwp                   ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_brp                   ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdfull_reg               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|fifo_ram                 ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p                ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p                ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_dgrp_gray2bin         ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrptr_g_gray2bin         ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:3:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_dgwp_gray2bin         ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
